Unnamed: 0,genre,lexical_field
10,biography,biography treatise diagram register reminiscence journal chart précis prehistory diary portrayal critique annals brochure monograph epic confession pamphlet bio anecdote vignette writing account letter observation saga exposition self disquisition tale essay poetry work résumé sketch lore cv book analysis classic leaflet year people note study woman discussion literary story thumbnail documentary belle humanity novel recital review finding chronicle world experience history discourse first written narration drama transaction comment recollection article character lettres summary memoir composition paper resume narrative dissertation survey report literaturen lit film time vita profile adventure treatment information tract curriculum memory vitae life personal theme research record relation recapitulation prose autobiography thesis annal tractate version abstract
11,adult,mature missus gagged elder steamy rated developed lascivious porn queen doll first sexy sensual babe scene sexual gal smutty mare dame mama age marriageable bawdy color find old bee lady female broad perfected porno obscene little matron fleshy prime young raunchy woman aged ripe immoral erotic grown story blown lush full indecent offensive big mistress ripened core friend lewd adult dirty nubile hard tall girl
12,action,instrument performance whoopee trip pleasure job hoopla bureau stunt merry liveliness hustle bit mean animation move channel play friend fun activeness firm execution bustle motion work beguilement zoo organ instrumentality thing vehicle exercise scene field year movement diversion force police influence mediation enterprise find cheer auspex entertainment racket day occupation efficiency merriment take undertaking hobby laughter company feat labor accomplishment step laugh operation delight achievement world intervention deed bag pastime game act picnic agency gratification activity amusement enjoyment task must office ball action time ballgame fight grin mechanism hilarity venture endeavor life pleasing high round project exertion avocation intercession regalement gladdening scheme mirth medium department exploit
13,music,romance pandemonium performance chorus chart strain crash arrangement hubbub bob cantata mark chorale hoo clamor writing interpretation clangor play exposition number opus essay tumult poetry work recurrent rock brouhaha main commotion setup video exercise hullabaloo live berceuse verse hurly manifestation study bedlam sculpture sound boisterousness literary racket story manuscript stridency fiction novel lullaby burden section uproar melody clash buzz drama jangle article din art band song croon composition paper opera speech score music short dissertation motif disquiet response row shout tintinnabulation piece artist clatter tune painting rhapsody undersong show theme revelation concerto outcry ritornelle percussion stanza confusion burly thesis babel getup tintamarre medium symphony concert ha
14,crime,misdeed abomination pollution pilferage slaughter savagery gore homicide theft job burglary offing outrage brutality break hecatomb warfare destroy inhumanity evil hurt heist defilement mass family horror work butchering search case killing abuse bath slaying police blitz find second manslaughter young butchery malevolence story viciousness blood crime wrongdoing violation taking injury owl housebreaking liquidation harm gut shamble offense sting havoc iniquity bloodshed caper robbery manhandling damage filching atrocity drug carnage enormity life larceny annihilation maltreatment extermination safecracking entering breaking ruthlessness thieving prowl rapine wasting barbarity infamy monstrosity holocaust murder wrong impairment
15,animation,reaction actuality stir trip job hoopla stunt liveliness strip agility hustle bit bound elasticity animation turmoil resilience living process big friend activeness deal bustle motion work zoo subsistence commotion vivacity alacrity recoil exercise scene energy flurry year come movement force enterprise find comic entertainment dash racket vitality story occupation industry vim hopper bounce undertaking hobby plan presence labor spirit operation world reality power pep deed bag pastime game act idea springiness dynamism alertness activity task cell happening cartoon action proposition response time ballgame adventure venture endeavor life project give exertion help avocation drawing vigor claymation journey functioning business rush animated scheme rebound zip
16,sci-fi,planet alien valerian trek blade world futurism human life universe robotics steampunk year robot odyssey lucas find telepathy earth solaris runner opera dune science dystopia george post stargate cyberpunk star space apocalyptic nebula barjavel fiction war spielberg time fantasy
17,adventure,kismet circumstance matter celebration performance speculate stir tide excitation haphazard stunt catastrophe hubbub break turn bit even stake heart lucky misfortune gamble animation winning turmoil hit hysteria bother throw cookie ahead big stimulus friend peril tumult dare holiday triumph titillation wonder truth fuss case thing commotion miracle development phenomenon situation intoxication affair frenzy flurry hullabaloo card run force movement risk find enterprise occurrence heat providence young rage woman odds marvel predicament crisis furor story presume lot happenin incident accident luck de impulse chance pluck instigation take contingency fortune pa plan fate feat accomplishment disturbance juncture emergency destiny mishap wildness occasion undertake destination brave fact world reality experience discomposure provocation fluke deed toss head kick buzz game drama outcome act transaction idea try milestone motive excitement passion ceremony fortuity bold elation activity dither casualty crusade melodrama hurry calamity wheel event cause way ado fever stroke byplay happening quest shift action peradventure time ballgame make episode good lottery adventure appearance crumbles tail venture thrill endeavor life advantage conjuncture coincidence advent function feeling doom cast urge proceeding agitation endanger hazard phase future ferment motivation confusion attempt hap business tour emotion stimulation trepidation hand warmth bad dice mistake commission exploit securing perturbation
18,fantasy,romance misapprehension trance optical shade trip allegory daydream dream fable imagination embroidery spain fond legend castle chicanery fish coloring mirage vision fool ignis fatuus delusion old thought overemphasis vagary eidolon magnification overestimation enlargement pipe ghost oversight chestnut self invention impression tale emphasis sky nightmare boasting tall speciousness misjudgment air apologue human bubble untruth hallucination year caricature find speculation young white casuistry illusion rant story spuriousness inflation trickery deception pretentiousness lie fiction girl image amplification dreamscape world power saw fairy picture fancy falsehood head jazz false excess idea deceptiveness hyperbole unrealistic aggrandizement hogwash speech whopper blunder fib lapse baloney mental time fantasy crock figment bestiary life rainbow misrepresentation apparition revery parable fabrication pie phantom myth figure stretch fallacy bunk exaltation error wraith pretension extravagance specter yarn incubus line flight elaboration reverie exaggeration mistake chimera goal bird phantasm paradise
19,mystery,hush case ambiguity catch sixty mystery privacy secretiveness covertness twister world book question life st brain clandestinity concealment inconsistency anomaly puzzler illustration dark detective police thousand oddity conundrum seclusion find paradox teaser enigma example opposite closed error silence confidentiality problem clandestineness absurdity grabber stumper retirement riddle brainteaser query story reverse bugaboo nonsense hanger isolation confidence mind secretness poser huggermugger dollar friend revers huggermuggery cliff darkness puzzlement reticence mistake boggler mystification furtiveness intricacy solitude murder hiding stickler
20,history,commentary register statement abc capacity display rendition publication journal resolution prehistory diary illustration rearing breeding annals definition excuse explication breakdown confession preparation writing interpretation specification account play exposition tale cultivation brief elucidation significance practice telling atmosphere run year sense talking gloss justification note young meaning story education culture explanation whole take american grounding recital accomplishment chronicle answer world attainment history picture blow expression deed narration description comment aura summary motive qualification archive tradition acquirement score cause century framework narrative report action film evidence time backdrop make credential tab information demonstration life bulletin showing environment vindication upbringing record mitigation recountal training background annal annotation lowdown detail version seasoning example
21,news,edict statement hearsay publication rumble input prescription reporting grapevine break steer cry account briefing exposings direction exposition rumor judgment charge dissuasion going series recitation counsel disclosure tidings advisement divulgence intimation notification wise calendar aid instruction broadcasting cent telltale year caution dispatch exhortation notice story lesson prediction release communiqué take program teaching wire forewarning communiqués advocacy dope world consultation first whisper expression advertisement buzz suggestion talk narration persuasion message comment article item scandal publishing hot opinion news viewer happening worth report proposition film broadcast information word encouragement admonition dissemination bulletin show guidance revelation announcement view recommendation advice tip bum flash help communication scoop proposal list exposing warning handout skinny scuttlebutt promulgation injunction
22,musical,imaginative concordant recital rhythmical musical girl pitched ear symphonious tuneful rockfest clear sublime world exquisite agreeable life love dramatic pleasurable melodic pleasing tune consonant symphonic poetic chorus concert euphonic elegant show sensitive musicale harmony jam picturesque sonorous tasteful selection ideal cultivated melodious grand dulcet refined song young rhythmic ornamental well smooth accordant story mellifluous artistic decorative creative harmonic graceful harmonizing sounding music cultured euphonical unison stylish pictorial euphonious fine gig harmonious sweet session film aesthetic stimulating
